"CrowdworksID","Sex","Age","AcademicDegree","SumSSTFinalRating","SumRPSMCorrect","Vocab_Check_All","Vocab_Check_P1","Vocab_Check_P2","Vocab_Check_P3","Extraversion_Agg","Agreeableness_Agg","Conscientious_Agg","Neuroticism_Agg","Openess_Agg","SumWAISVocabScore","Extraversion","Conscientiousness","Neuroticism","Openness","Agreeableness"
"4550563",2,26,4,27,10,63306,62754,63306,65847,1,5,3,3.5,1,25,1.2,3.85714285714286,5,1.83333333333333,4.83333333333333
"4866321",2,48,4,27,10,66790,76021,60841,66106,3,5,5,4,3,28,3.6,4.85714285714286,4.4,2.83333333333333,4.83333333333333
"4733003",1,44,4,29,3,94153,100675,95687,87290,6,5.5,5.5,2.5,4.5,30,5,6,2.2,5,5.16666666666667
"5108946",2,46,4,30,8,95687,98070,98869,0,4.5,5.5,4.5,3.5,5,32,4.6,4.71428571428571,3.6,4.83333333333333,4.66666666666667
"1221408",2,42,2,25,5,65847,63620,65728,66257,5,6,5,2.5,4.5,22,5,5.42857142857143,3.2,4.5,5.83333333333333
"466071",1,44,2,17,5,64807,63620,66790,71636,7,6,6,1,5.5,28,6.4,6.28571428571429,1.4,5.16666666666667,5.33333333333333
"5098660",2,34,3,29,3,78161,75200,78161,81294,2.5,6,5.5,5.5,4,22,3,5.85714285714286,3.8,4,4.5
"5023829",1,36,4,31,8,91792,91766,92771,90491,6,4,5,4,4.5,27,5.8,4.71428571428571,4,4.5,4
"1445649",1,37,4,31,10,70659,78421,64939,69116,4,1.5,1,6,3,26,2,2,6.6,2.83333333333333,2.83333333333333
"3020283",1,52,4,29,9,69921,69639,65370,0,5,6,5.5,3,4.5,27,5.2,5.85714285714286,4,4.16666666666667,6.16666666666667
"4189255",1,34,4,25,2,52401,35356,48928,51010,3,3.5,3,4.5,5,16,2.2,3.85714285714286,5.2,3.66666666666667,3.5
"4508331",2,32,4,29,8,52195,52104,48636,56710,5,3,6,4.5,4.5,25,4,2.57142857142857,4.2,4.16666666666667,4.66666666666667
"312376",1,40,4,26,5,50103,52104,49789,48544,1.5,5,2.5,7,2.5,30,1,3.85714285714286,6.8,2.83333333333333,2.83333333333333
"945548",2,29,4,26,3,55800,45343,59125,64454,4.5,5,4.5,2.5,3.5,32,4.8,5.14285714285714,2.8,3.66666666666667,4.33333333333333
"603644",1,34,4,30,5,68405,74904,64042,67249,1,6.5,5,4,1.5,18,1.6,5.71428571428571,6.4,2.83333333333333,5.83333333333333
"517742",1,46,2,30,6,70521,66947,65296,80511,2,6.5,4.5,2,4.5,24,2.8,5.42857142857143,2.6,2.83333333333333,5.66666666666667
"2848289",2,35,4,30,11,90587,88227,89984,93824,2,3.5,3.5,4,3,30,2,2.57142857142857,6.4,2.66666666666667,3.5
"1790440",1,58,3,30,10,65991,69886,63926,53122,2,5,4,5,2.5,25,2,4.71428571428571,6,3.66666666666667,3.83333333333333
"712304",2,47,2,33,7,101811,104888,112979,87196,3.5,6,6,2.5,3,33,4.4,5.85714285714286,3.6,4.83333333333333,5
"4021758",1,44,3,25,5,49941,52362,45256,55888,2.5,5.5,3.5,2.5,3,25,3.2,4.57142857142857,3,3.33333333333333,5.33333333333333
"3675780",1,40,4,26,9,94902,101322,92558,0,3.5,4.5,3.5,5,3,29,2.4,3.57142857142857,5,3.66666666666667,4.33333333333333
"930821",1,31,4,19,2,49102,48174,42693,47309,5,6.5,7,3.5,6.5,11,4.4,6.42857142857143,2.2,4.66666666666667,6.33333333333333
"4662595",2,39,3,29,3,53159,55303,50412,52127,4,6,5,4.5,3.5,27,5,5.57142857142857,6.4,2.83333333333333,5.16666666666667
"4868810",1,39,4,26,5,130803,112731,127090,130144,1.5,7,6,1.5,1,30,1.6,6.14285714285714,4.2,3.16666666666667,5.83333333333333
"4549143",1,50,4,28,7,52104,48540,54274,58201,5.5,5.5,5,3,4,28,5.4,4.85714285714286,4.2,4.5,5
"1103016",1,42,4,26,10,80592,94902,76693,71832,3,3,2.5,4.5,4,22,2,2.28571428571429,6,2.66666666666667,2.5
"1117797",2,48,4,30,4,95687,91792,92541,102576,2,6,6,2,6,35,2.6,5.57142857142857,2.2,4.5,5.5
"222621",2,57,2,28,5,70558,70052,65045,76693,3.5,5.5,5,2.5,4,29,3.2,5.42857142857143,3,4,5.16666666666667
"4883826",2,37,4,29,7,41764,49789,36484,39249,3.5,5,4,4.5,4.5,27,4.2,4.42857142857143,5,3.5,4
"4707138",1,41,2,26,5,65527,61214,66790,68992,6.5,5,4,1.5,5,27,5.6,4.85714285714286,2.2,4.33333333333333,5.33333333333333
"3831171",2,28,2,33,2,55504,66106,50721,51063,1,2.5,2,5.5,3,27,1.8,1.71428571428571,5.2,2.16666666666667,1.66666666666667
"5057931",2,40,4,26,2,55173,65768,49019,54864,3,5.5,5,5,4,19,5.2,4.71428571428571,5.2,3.5,3.16666666666667
"2511924",2,42,3,31,10,76693,78161,79297,74572,1.5,6.5,5.5,4.5,3,30,3.4,6.57142857142857,5.2,4.33333333333333,6.33333333333333
"4074220",2,47,2,23,3,64061,63664,67026,63385,6.5,5.5,3,1,5.5,32,6.8,3,1.2,4.33333333333333,5
"2382066",2,43,2,31,4,62009,50647,59149,64561,7,6.5,3,1,6,18,6.6,5.71428571428571,2.4,4.83333333333333,6
"1039845",1,42,2,30,9,64610,69544,63445,61358,4,5.5,3.5,2.5,3.5,22,4.8,3.42857142857143,4,3.66666666666667,5.83333333333333
"3536109",1,52,3,29,6,101928,103231,112126,90491,4.5,4.5,5,4,4,25,4.4,4.85714285714286,4.6,4,3.5
"367640",1,50,4,34,7,76622,75581,73950,0,2,3,2.5,5.5,2.5,32,1.4,3.85714285714286,6.6,3.16666666666667,4.33333333333333
"5021995",1,30,2,30,5,48452,45179,49605,51101,2.5,2.5,3.5,6.5,3,24,2.2,5.14285714285714,6.4,2.5,3.16666666666667
"4802537",1,45,4,31,6,118004,116727,120885,112979,4,4,4,4.5,3.5,33,4.4,4.14285714285714,4.6,4.16666666666667,4.33333333333333
"4222839",1,36,4,30,12,62754,71707,59542,58272,3,5.5,4,6,2.5,28,2.8,2.85714285714286,5.8,2.5,5
