success,trial_type,trial_index,time_elapsed,internal_node_id,ID,StartTime,EndTime,rt,stimulus,response,task,question_order,stim,answer,Score
1,fullscreen,0,2607,0.0-0.0,367640,2023/10/18 14:05,2023/10/18 14:07,,,,,,,,0
,html-keyboard-response,1,8535,0.0-1.0,367640,2023/10/18 14:05,2023/10/18 14:07,5924,<p style='text-algin:left'>これから、20個の単語についてその意味をおききします。</p><p style='text-algin:left'>語の意味を表すものとして、<u>最も適切なもの</u>をひとつ選択してください。</p><p><br><br></br><p style='text-algin:left'>準備ができたらスペーキーを押して、課題をはじめてください。</p>, ,vocab_instruction,,,,0
,survey-multi-choice,2,13653,0.0-2.0-0.0,367640,2023/10/18 14:05,2023/10/18 14:07,5114,,Array,vocab_task,Array,,,2
,survey-multi-choice,3,21213,0.0-2.0-1.0,367640,2023/10/18 14:05,2023/10/18 14:07,7558,,Array,vocab_task,Array,,,2
,survey-multi-choice,4,24245,0.0-2.0-2.0,367640,2023/10/18 14:05,2023/10/18 14:07,3030,,Array,vocab_task,Array,,,2
,survey-multi-choice,5,30005,0.0-2.0-3.0,367640,2023/10/18 14:05,2023/10/18 14:07,5758,,Array,vocab_task,Array,,,2
,survey-multi-choice,6,33013,0.0-2.0-4.0,367640,2023/10/18 14:05,2023/10/18 14:07,3006,,Array,vocab_task,Array,,,2
,survey-multi-choice,7,38725,0.0-2.0-5.0,367640,2023/10/18 14:05,2023/10/18 14:07,5710,,Array,vocab_task,Array,,,2
,survey-multi-choice,8,47757,0.0-2.0-6.0,367640,2023/10/18 14:05,2023/10/18 14:07,9030,,Array,vocab_task,Array,,,1
,survey-multi-choice,9,55060,0.0-2.0-7.0,367640,2023/10/18 14:05,2023/10/18 14:07,7302,,Array,vocab_task,Array,,,2
,survey-multi-choice,10,67941,0.0-2.0-8.0,367640,2023/10/18 14:05,2023/10/18 14:07,12878,,Array,vocab_task,Array,,,0
,survey-multi-choice,11,74421,0.0-2.0-9.0,367640,2023/10/18 14:05,2023/10/18 14:07,6478,,Array,vocab_task,Array,,,2
,survey-multi-choice,12,81221,0.0-2.0-10.0,367640,2023/10/18 14:05,2023/10/18 14:07,6798,,Array,vocab_task,Array,,,2
,survey-multi-choice,13,84125,0.0-2.0-11.0,367640,2023/10/18 14:05,2023/10/18 14:07,2902,,Array,vocab_task,Array,,,2
,survey-multi-choice,14,88013,0.0-2.0-12.0,367640,2023/10/18 14:05,2023/10/18 14:07,3886,,Array,vocab_task,Array,,,2
,survey-multi-choice,15,106885,0.0-2.0-13.0,367640,2023/10/18 14:05,2023/10/18 14:07,18870,,Array,vocab_task,Array,,,1
,survey-multi-choice,16,112557,0.0-2.0-14.0,367640,2023/10/18 14:05,2023/10/18 14:07,5670,,Array,vocab_task,Array,,,2
,survey-multi-choice,17,117045,0.0-2.0-15.0,367640,2023/10/18 14:05,2023/10/18 14:07,4486,,Array,vocab_task,Array,,,2
,survey-multi-choice,18,124901,0.0-2.0-16.0,367640,2023/10/18 14:05,2023/10/18 14:07,7854,,Array,vocab_task,Array,,,2
,survey-multi-choice,19,129210,0.0-2.0-17.0,367640,2023/10/18 14:05,2023/10/18 14:07,4307,,Array,vocab_task,Array,,,0
,survey-multi-choice,20,136469,0.0-2.0-18.0,367640,2023/10/18 14:05,2023/10/18 14:07,7257,,Array,vocab_task,Array,,,0
,survey-multi-choice,21,143845,0.0-2.0-19.0,367640,2023/10/18 14:05,2023/10/18 14:07,7374,,Array,vocab_task,Array,,,2
,html-keyboard-response,22,145812,0.0-3.0,367640,2023/10/18 14:05,2023/10/18 14:07,1964,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押したのち、画面を閉じてください。</p>, ,vocab_debrief,,,,0
1,fullscreen,0,2576,0.0-0.0,4868810,2023/10/18 14:07,2023/10/18 14:10,,,,,,,,0
,html-keyboard-response,1,7545,0.0-1.0,4868810,2023/10/18 14:07,2023/10/18 14:10,4968,<p style='text-algin:left'>これから、20個の単語についてその意味をおききします。</p><p style='text-algin:left'>語の意味を表すものとして、<u>最も適切なもの</u>をひとつ選択してください。</p><p><br><br></br><p style='text-algin:left'>準備ができたらスペーキーを押して、課題をはじめてください。</p>, ,vocab_instruction,,,,0
,survey-multi-choice,2,16503,0.0-2.0-0.0,4868810,2023/10/18 14:07,2023/10/18 14:10,8956,,Array,vocab_task,Array,,,2
,survey-multi-choice,3,20670,0.0-2.0-1.0,4868810,2023/10/18 14:07,2023/10/18 14:10,4165,,Array,vocab_task,Array,,,2
,survey-multi-choice,4,26758,0.0-2.0-2.0,4868810,2023/10/18 14:07,2023/10/18 14:10,6086,,Array,vocab_task,Array,,,2
,survey-multi-choice,5,31751,0.0-2.0-3.0,4868810,2023/10/18 14:07,2023/10/18 14:10,4990,,Array,vocab_task,Array,,,2
,survey-multi-choice,6,37591,0.0-2.0-4.0,4868810,2023/10/18 14:07,2023/10/18 14:10,5837,,Array,vocab_task,Array,,,1
,survey-multi-choice,7,41463,0.0-2.0-5.0,4868810,2023/10/18 14:07,2023/10/18 14:10,3870,,Array,vocab_task,Array,,,2
,survey-multi-choice,8,55135,0.0-2.0-6.0,4868810,2023/10/18 14:07,2023/10/18 14:10,13670,,Array,vocab_task,Array,,,1
,survey-multi-choice,9,61967,0.0-2.0-7.0,4868810,2023/10/18 14:07,2023/10/18 14:10,6830,,Array,vocab_task,Array,,,2
,survey-multi-choice,10,72262,0.0-2.0-8.0,4868810,2023/10/18 14:07,2023/10/18 14:10,10293,,Array,vocab_task,Array,,,1
,survey-multi-choice,11,84982,0.0-2.0-9.0,4868810,2023/10/18 14:07,2023/10/18 14:10,12717,,Array,vocab_task,Array,,,2
,survey-multi-choice,12,93750,0.0-2.0-10.0,4868810,2023/10/18 14:07,2023/10/18 14:10,8766,,Array,vocab_task,Array,,,1
,survey-multi-choice,13,99807,0.0-2.0-11.0,4868810,2023/10/18 14:07,2023/10/18 14:10,6054,,Array,vocab_task,Array,,,2
,survey-multi-choice,14,104703,0.0-2.0-12.0,4868810,2023/10/18 14:07,2023/10/18 14:10,4894,,Array,vocab_task,Array,,,2
,survey-multi-choice,15,109879,0.0-2.0-13.0,4868810,2023/10/18 14:07,2023/10/18 14:10,5174,,Array,vocab_task,Array,,,2
,survey-multi-choice,16,115119,0.0-2.0-14.0,4868810,2023/10/18 14:07,2023/10/18 14:10,5238,,Array,vocab_task,Array,,,2
,survey-multi-choice,17,119431,0.0-2.0-15.0,4868810,2023/10/18 14:07,2023/10/18 14:10,4310,,Array,vocab_task,Array,,,2
,survey-multi-choice,18,125695,0.0-2.0-16.0,4868810,2023/10/18 14:07,2023/10/18 14:10,6262,,Array,vocab_task,Array,,,1
,survey-multi-choice,19,129814,0.0-2.0-17.0,4868810,2023/10/18 14:07,2023/10/18 14:10,4117,,Array,vocab_task,Array,,,0
,survey-multi-choice,20,137071,0.0-2.0-18.0,4868810,2023/10/18 14:07,2023/10/18 14:10,7254,,Array,vocab_task,Array,,,1
,survey-multi-choice,21,143511,0.0-2.0-19.0,4868810,2023/10/18 14:07,2023/10/18 14:10,6438,,Array,vocab_task,Array,,,0
,html-keyboard-response,22,145148,0.0-3.0,4868810,2023/10/18 14:07,2023/10/18 14:10,1635,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押したのち、画面を閉じてください。</p>, ,vocab_debrief,,,,0
1,fullscreen,0,3369,0.0-0.0,1117797,2023/10/18 14:08,2023/10/18 14:11,,,,,,,,0
,html-keyboard-response,1,7664,0.0-1.0,1117797,2023/10/18 14:08,2023/10/18 14:11,4290,<p style='text-algin:left'>これから、20個の単語についてその意味をおききします。</p><p style='text-algin:left'>語の意味を表すものとして、<u>最も適切なもの</u>をひとつ選択してください。</p><p><br><br></br><p style='text-algin:left'>準備ができたらスペーキーを押して、課題をはじめてください。</p>, ,vocab_instruction,,,,0
,survey-multi-choice,2,23482,0.0-2.0-0.0,1117797,2023/10/18 14:08,2023/10/18 14:11,15814,,Array,vocab_task,Array,,,2
,survey-multi-choice,3,27799,0.0-2.0-1.0,1117797,2023/10/18 14:08,2023/10/18 14:11,4314,,Array,vocab_task,Array,,,2
,survey-multi-choice,4,31245,0.0-2.0-2.0,1117797,2023/10/18 14:08,2023/10/18 14:11,3444,,Array,vocab_task,Array,,,2
,survey-multi-choice,5,34810,0.0-2.0-3.0,1117797,2023/10/18 14:08,2023/10/18 14:11,3564,,Array,vocab_task,Array,,,2
,survey-multi-choice,6,37787,0.0-2.0-4.0,1117797,2023/10/18 14:08,2023/10/18 14:11,2974,,Array,vocab_task,Array,,,2
,survey-multi-choice,7,43519,0.0-2.0-5.0,1117797,2023/10/18 14:08,2023/10/18 14:11,5730,,Array,vocab_task,Array,,,2
,survey-multi-choice,8,49870,0.0-2.0-6.0,1117797,2023/10/18 14:08,2023/10/18 14:11,6349,,Array,vocab_task,Array,,,2
,survey-multi-choice,9,63795,0.0-2.0-7.0,1117797,2023/10/18 14:08,2023/10/18 14:11,13923,,Array,vocab_task,Array,,,2
,survey-multi-choice,10,76066,0.0-2.0-8.0,1117797,2023/10/18 14:08,2023/10/18 14:11,24745,,Array,vocab_task,Array,,,2
,survey-multi-choice,11,80502,0.0-2.0-9.0,1117797,2023/10/18 14:08,2023/10/18 14:11,4434,,Array,vocab_task,Array,,,2
,survey-multi-choice,12,86804,0.0-2.0-10.0,1117797,2023/10/18 14:08,2023/10/18 14:11,6300,,Array,vocab_task,Array,,,0
,survey-multi-choice,13,95679,0.0-2.0-11.0,1117797,2023/10/18 14:08,2023/10/18 14:11,8873,,Array,vocab_task,Array,,,2
,survey-multi-choice,14,111023,0.0-2.0-12.0,1117797,2023/10/18 14:08,2023/10/18 14:11,15342,,Array,vocab_task,Array,,,0
,survey-multi-choice,15,117511,0.0-2.0-13.0,1117797,2023/10/18 14:08,2023/10/18 14:11,6485,,Array,vocab_task,Array,,,1
,survey-multi-choice,16,121195,0.0-2.0-14.0,1117797,2023/10/18 14:08,2023/10/18 14:11,3682,,Array,vocab_task,Array,,,2
,survey-multi-choice,17,127126,0.0-2.0-15.0,1117797,2023/10/18 14:08,2023/10/18 14:11,5929,,Array,vocab_task,Array,,,2
,survey-multi-choice,18,134731,0.0-2.0-16.0,1117797,2023/10/18 14:08,2023/10/18 14:11,7602,,Array,vocab_task,Array,,,2
,survey-multi-choice,19,143288,0.0-2.0-17.0,1117797,2023/10/18 14:08,2023/10/18 14:11,8555,,Array,vocab_task,Array,,,2
,survey-multi-choice,20,148676,0.0-2.0-18.0,1117797,2023/10/18 14:08,2023/10/18 14:11,5385,,Array,vocab_task,Array,,,2
,survey-multi-choice,21,155503,0.0-2.0-19.0,1117797,2023/10/18 14:08,2023/10/18 14:11,6825,,Array,vocab_task,Array,,,2
,html-keyboard-response,22,157203,0.0-3.0,1117797,2023/10/18 14:08,2023/10/18 14:11,1697,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押したのち、画面を閉じてください。</p>, ,vocab_debrief,,,,0
1,fullscreen,0,3976,0.0-0.0,312376,2023/10/18 14:08,2023/10/18 14:12,,,,,,,,0
,html-keyboard-response,1,8035,0.0-1.0,312376,2023/10/18 14:08,2023/10/18 14:12,4053,<p style='text-algin:left'>これから、20個の単語についてその意味をおききします。</p><p style='text-algin:left'>語の意味を表すものとして、<u>最も適切なもの</u>をひとつ選択してください。</p><p><br><br></br><p style='text-algin:left'>準備ができたらスペーキーを押して、課題をはじめてください。</p>, ,vocab_instruction,,,,0
,survey-multi-choice,2,15531,0.0-2.0-0.0,312376,2023/10/18 14:08,2023/10/18 14:12,7493,,Array,vocab_task,Array,,,2
,survey-multi-choice,3,30421,0.0-2.0-1.0,312376,2023/10/18 14:08,2023/10/18 14:12,14889,,Array,vocab_task,Array,,,1
,survey-multi-choice,4,36035,0.0-2.0-2.0,312376,2023/10/18 14:08,2023/10/18 14:12,5611,,Array,vocab_task,Array,,,2
,survey-multi-choice,5,41079,0.0-2.0-3.0,312376,2023/10/18 14:08,2023/10/18 14:12,5042,,Array,vocab_task,Array,,,2
,survey-multi-choice,6,48093,0.0-2.0-4.0,312376,2023/10/18 14:08,2023/10/18 14:12,7012,,Array,vocab_task,Array,,,2
,survey-multi-choice,7,52504,0.0-2.0-5.0,312376,2023/10/18 14:08,2023/10/18 14:12,4408,,Array,vocab_task,Array,,,2
,survey-multi-choice,8,64352,0.0-2.0-6.0,312376,2023/10/18 14:08,2023/10/18 14:12,11846,,Array,vocab_task,Array,,,1
,survey-multi-choice,9,77138,0.0-2.0-7.0,312376,2023/10/18 14:08,2023/10/18 14:12,12784,,Array,vocab_task,Array,,,2
,survey-multi-choice,10,95258,0.0-2.0-8.0,312376,2023/10/18 14:08,2023/10/18 14:12,18118,,Array,vocab_task,Array,,,0
,survey-multi-choice,11,109241,0.0-2.0-9.0,312376,2023/10/18 14:08,2023/10/18 14:12,13981,,Array,vocab_task,Array,,,2
,survey-multi-choice,12,120697,0.0-2.0-10.0,312376,2023/10/18 14:08,2023/10/18 14:12,11454,,Array,vocab_task,Array,,,0
,survey-multi-choice,13,131268,0.0-2.0-11.0,312376,2023/10/18 14:08,2023/10/18 14:12,10568,,Array,vocab_task,Array,,,0
,survey-multi-choice,14,146530,0.0-2.0-12.0,312376,2023/10/18 14:08,2023/10/18 14:12,15261,,Array,vocab_task,Array,,,2
,survey-multi-choice,15,152108,0.0-2.0-13.0,312376,2023/10/18 14:08,2023/10/18 14:12,5575,,Array,vocab_task,Array,,,2
,survey-multi-choice,16,162085,0.0-2.0-14.0,312376,2023/10/18 14:08,2023/10/18 14:12,9974,,Array,vocab_task,Array,,,1
,survey-multi-choice,17,175456,0.0-2.0-15.0,312376,2023/10/18 14:08,2023/10/18 14:12,13369,,Array,vocab_task,Array,,,2
,survey-multi-choice,18,191591,0.0-2.0-16.0,312376,2023/10/18 14:08,2023/10/18 14:12,16134,,Array,vocab_task,Array,,,1
,survey-multi-choice,19,198691,0.0-2.0-17.0,312376,2023/10/18 14:08,2023/10/18 14:12,7098,,Array,vocab_task,Array,,,2
,survey-multi-choice,20,209132,0.0-2.0-18.0,312376,2023/10/18 14:08,2023/10/18 14:12,10439,,Array,vocab_task,Array,,,2
,survey-multi-choice,21,223215,0.0-2.0-19.0,312376,2023/10/18 14:08,2023/10/18 14:12,14081,,Array,vocab_task,Array,,,2
,html-keyboard-response,22,225179,0.0-3.0,312376,2023/10/18 14:08,2023/10/18 14:12,1962,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押したのち、画面を閉じてください。</p>, ,vocab_debrief,,,,0
1,fullscreen,0,6686,0.0-0.0,222621,2023/10/18 14:09,2023/10/18 14:14,,,,,,,,0
,html-keyboard-response,1,15635,0.0-1.0,222621,2023/10/18 14:09,2023/10/18 14:14,8945,<p style='text-algin:left'>これから、20個の単語についてその意味をおききします。</p><p style='text-algin:left'>語の意味を表すものとして、<u>最も適切なもの</u>をひとつ選択してください。</p><p><br><br></br><p style='text-algin:left'>準備ができたらスペーキーを押して、課題をはじめてください。</p>, ,vocab_instruction,,,,0
,survey-multi-choice,2,36517,0.0-2.0-0.0,222621,2023/10/18 14:09,2023/10/18 14:14,20878,,Array,vocab_task,Array,,,2
,survey-multi-choice,3,48993,0.0-2.0-1.0,222621,2023/10/18 14:09,2023/10/18 14:14,12471,,Array,vocab_task,Array,,,2
,survey-multi-choice,4,56028,0.0-2.0-2.0,222621,2023/10/18 14:09,2023/10/18 14:14,7032,,Array,vocab_task,Array,,,2
,survey-multi-choice,5,69134,0.0-2.0-3.0,222621,2023/10/18 14:09,2023/10/18 14:14,13103,,Array,vocab_task,Array,,,2
,survey-multi-choice,6,78865,0.0-2.0-4.0,222621,2023/10/18 14:09,2023/10/18 14:14,9728,,Array,vocab_task,Array,,,2
,survey-multi-choice,7,87017,0.0-2.0-5.0,222621,2023/10/18 14:09,2023/10/18 14:14,8148,,Array,vocab_task,Array,,,2
,survey-multi-choice,8,107385,0.0-2.0-6.0,222621,2023/10/18 14:09,2023/10/18 14:14,20364,,Array,vocab_task,Array,,,2
,survey-multi-choice,9,118237,0.0-2.0-7.0,222621,2023/10/18 14:09,2023/10/18 14:14,10847,,Array,vocab_task,Array,,,1
,survey-multi-choice,10,139089,0.0-2.0-8.0,222621,2023/10/18 14:09,2023/10/18 14:14,20851,,Array,vocab_task,Array,,,0
,survey-multi-choice,11,150825,0.0-2.0-9.0,222621,2023/10/18 14:09,2023/10/18 14:14,11732,,Array,vocab_task,Array,,,1
,survey-multi-choice,12,162149,0.0-2.0-10.0,222621,2023/10/18 14:09,2023/10/18 14:14,11321,,Array,vocab_task,Array,,,2
,survey-multi-choice,13,173341,0.0-2.0-11.0,222621,2023/10/18 14:09,2023/10/18 14:14,11188,,Array,vocab_task,Array,,,2
,survey-multi-choice,14,185153,0.0-2.0-12.0,222621,2023/10/18 14:09,2023/10/18 14:14,11808,,Array,vocab_task,Array,,,2
,survey-multi-choice,15,198961,0.0-2.0-13.0,222621,2023/10/18 14:09,2023/10/18 14:14,13807,,Array,vocab_task,Array,,,1
,survey-multi-choice,16,217401,0.0-2.0-14.0,222621,2023/10/18 14:09,2023/10/18 14:14,18436,,Array,vocab_task,Array,,,1
,survey-multi-choice,17,235261,0.0-2.0-15.0,222621,2023/10/18 14:09,2023/10/18 14:14,17856,,Array,vocab_task,Array,,,2
,survey-multi-choice,18,241605,0.0-2.0-16.0,222621,2023/10/18 14:09,2023/10/18 14:14,6340,,Array,vocab_task,Array,,,1
,survey-multi-choice,19,252753,0.0-2.0-17.0,222621,2023/10/18 14:09,2023/10/18 14:14,11146,,Array,vocab_task,Array,,,1
,survey-multi-choice,20,280581,0.0-2.0-18.0,222621,2023/10/18 14:09,2023/10/18 14:14,27826,,Array,vocab_task,Array,,,1
,survey-multi-choice,21,291697,0.0-2.0-19.0,222621,2023/10/18 14:09,2023/10/18 14:14,11114,,Array,vocab_task,Array,,,0
,html-keyboard-response,22,294775,0.0-3.0,222621,2023/10/18 14:09,2023/10/18 14:14,3074,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押したのち、画面を閉じてください。</p>, ,vocab_debrief,,,,0
1,fullscreen,0,4050,0.0-0.0,3536109,2023/10/18 14:16,2023/10/18 14:22,,,,,,,,0
,html-keyboard-response,1,9095,0.0-1.0,3536109,2023/10/18 14:16,2023/10/18 14:22,5042,<p style='text-algin:left'>これから、20個の単語についてその意味をおききします。</p><p style='text-algin:left'>語の意味を表すものとして、<u>最も適切なもの</u>をひとつ選択してください。</p><p><br><br></br><p style='text-algin:left'>準備ができたらスペーキーを押して、課題をはじめてください。</p>, ,vocab_instruction,,,,0
,survey-multi-choice,2,27002,0.0-2.0-0.0,3536109,2023/10/18 14:16,2023/10/18 14:22,17905,,Array,vocab_task,Array,,,2
,survey-multi-choice,3,35201,0.0-2.0-1.0,3536109,2023/10/18 14:16,2023/10/18 14:22,8196,,Array,vocab_task,Array,,,2
,survey-multi-choice,4,40618,0.0-2.0-2.0,3536109,2023/10/18 14:16,2023/10/18 14:22,5414,,Array,vocab_task,Array,,,2
,survey-multi-choice,5,58703,0.0-2.0-3.0,3536109,2023/10/18 14:16,2023/10/18 14:22,18081,,Array,vocab_task,Array,,,1
,survey-multi-choice,6,70999,0.0-2.0-4.0,3536109,2023/10/18 14:16,2023/10/18 14:22,12293,,Array,vocab_task,Array,,,2
,survey-multi-choice,7,79632,0.0-2.0-5.0,3536109,2023/10/18 14:16,2023/10/18 14:22,8630,,Array,vocab_task,Array,,,2
,survey-multi-choice,8,93858,0.0-2.0-6.0,3536109,2023/10/18 14:16,2023/10/18 14:22,14223,,Array,vocab_task,Array,,,2
,survey-multi-choice,9,105963,0.0-2.0-7.0,3536109,2023/10/18 14:16,2023/10/18 14:22,12102,,Array,vocab_task,Array,,,2
,survey-multi-choice,10,125896,0.0-2.0-8.0,3536109,2023/10/18 14:16,2023/10/18 14:22,19930,,Array,vocab_task,Array,,,1
,survey-multi-choice,11,139690,0.0-2.0-9.0,3536109,2023/10/18 14:16,2023/10/18 14:22,13791,,Array,vocab_task,Array,,,0
,survey-multi-choice,12,155099,0.0-2.0-10.0,3536109,2023/10/18 14:16,2023/10/18 14:22,15405,,Array,vocab_task,Array,,,1
,survey-multi-choice,13,186088,0.0-2.0-11.0,3536109,2023/10/18 14:16,2023/10/18 14:22,30988,,Array,vocab_task,Array,,,2
,survey-multi-choice,14,221033,0.0-2.0-12.0,3536109,2023/10/18 14:16,2023/10/18 14:22,34942,,Array,vocab_task,Array,,,2
,survey-multi-choice,15,231417,0.0-2.0-13.0,3536109,2023/10/18 14:16,2023/10/18 14:22,10380,,Array,vocab_task,Array,,,1
,survey-multi-choice,16,243597,0.0-2.0-14.0,3536109,2023/10/18 14:16,2023/10/18 14:22,12177,,Array,vocab_task,Array,,,2
,survey-multi-choice,17,269202,0.0-2.0-15.0,3536109,2023/10/18 14:16,2023/10/18 14:22,25601,,Array,vocab_task,Array,,,0
,survey-multi-choice,18,283868,0.0-2.0-16.0,3536109,2023/10/18 14:16,2023/10/18 14:22,14663,,Array,vocab_task,Array,,,0
,survey-multi-choice,19,301080,0.0-2.0-17.0,3536109,2023/10/18 14:16,2023/10/18 14:22,17208,,Array,vocab_task,Array,,,1
,survey-multi-choice,20,323167,0.0-2.0-18.0,3536109,2023/10/18 14:16,2023/10/18 14:22,22083,,Array,vocab_task,Array,,,0
,survey-multi-choice,21,336974,0.0-2.0-19.0,3536109,2023/10/18 14:16,2023/10/18 14:22,13803,,Array,vocab_task,Array,,,0
,html-keyboard-response,22,339349,0.0-3.0,3536109,2023/10/18 14:16,2023/10/18 14:22,2373,<p style='text-algin:left'>これで実験は終了です。お疲れ様でした。</p><p style='text-algin:left'>スペースキーを押したのち、画面を閉じてください。</p>, ,vocab_debrief,,,,0
1,fullscreen,0,93027,0.0-0.0,1103016,2023/10/18 14:20,2023/10/18 14:24,,,,,,,,0
,html-keyboard-response,1,117315,0.0-1.0,1103016,2023/10/18 14:20,2023/10/18 14:24,23898,<p style='text-algin:left'>これから、20個の単語についてその意味をおききします。</p><p style='text-algin:left'>語の意味を表すものとして、<u>最も適切なもの</u>をひとつ選択してください。</p><p><br><br></br><p style='text-algin:left'>準備ができたらスペーキーを押して、課題をはじめてください。</p>, ,vocab_instruction,,,,0
,survey-multi-choice,2,124744,0.0-2.0-0.0,1103016,2023/10/18 14:20,2023/10/18 14:24,6952,,Array,vocab_task,Array,,,0
,survey-multi-choice,3,128043,0.0-2.0-1.0,1103016,2023/10/18 14:20,2023/10/18 14:24,3223,,Array,vocab_task,Array,,,2
,survey-multi-choice,4,132693,0.0-2.0-2.0,1103016,2023/10/18 14:20,2023/10/18 14:24,4625,,Array,vocab_task,Array,,,2
,survey-multi-choice,5,137138,0.0-2.0-3.0,1103016,2023/10/18 14:20,2023/10/18 14:24,4426,,Array,vocab_task,Array,,,1
,survey-multi-choice,6,143084,0.0-2.0-4.0,1103016,2023/10/18 14:20,2023/10/18 14:24,5938,,Array,vocab_task,Array,,,0
,survey-multi-choice,7,147363,0.0-2.0-5.0,1103016,2023/10/18 14:20,2023/10/18 14:24,4273,,Array,vocab_task,Array,,,2
,survey-multi-choice,8,154546,0.0-2.0-6.0,1103016,2023/10/18 14:20,2023/10/18 14:24,7174,,Array,vocab_task,Array,,,1
,survey-multi-choice,9,158111,0.0-2.0-7.0,1103016,2023/10/18 14:20,2023/10/18 14:24,3559,,Array,vocab_task,Array,,,2
,survey-multi-choice,10,165995,0.0-2.0-8.0,1103016,2023/10/18 14:20,2023/10/18 14:24,7875,,Array,vocab_task,Array,,,1
,survey-multi-choice,11,171093,0.0-2.0-9.0,1103016,2023/10/18 14:20,2023/10/18 14:24,5087,,Array,vocab_task,Array,,,1
